当前股票 603733 股票名字 仙鹤股份 评级为: A- .............. i =1 , i的余数为 1
当前股票 300496 股票名字 中科创达 评级为: A- .............. i =58 , i的余数为 0
当前股票 002741 股票名字 光华科技 评级为: A- .............. i =59 , i的余数为 1
当前股票 300134 股票名字 大富科技 评级为: C- .............. i =60 , i的余数为 0
当前股票 300634 股票名字 彩讯股份 评级为: A  .............. i =61 , i的余数为 1
当前股票 000560 股票名字 昆百大Ａ 评级为: B  .............. i =62 , i的余数为 0
当前股票 603005 股票名字 晶方科技 评级为: B  .............. i =63 , i的余数为 1
当前股票 600573 股票名字 惠泉啤酒 评级为: C+ .............. i =64 , i的余数为 0
当前股票 603738 股票名字 泰晶科技 评级为: A  .............. i =65 , i的余数为 1
当前股票 000677 股票名字 恒天海龙 评级为: B- .............. i =66 , i的余数为 0
当前股票 300156 股票名字 神雾环保 评级为: A+ .............. i =67 , i的余数为 1
当前股票 600468 股票名字 百利电气 评级为: B  .............. i =68 , i的余数为 0
当前股票 603813 股票名字 原尚股份 评级为: B+ .............. i =69 , i的余数为 1
当前股票 600532 股票名字 宏达矿业 评级为: C- .............. i =70 , i的余数为 0
当前股票 300281 股票名字 金明精机 评级为: B  .............. i =71 , i的余数为 1
当前股票 002429 股票名字 兆驰股份 评级为: B- .............. i =72 , i的余数为 0
当前股票 300333 股票名字 兆日科技 评级为: B- .............. i =73 , i的余数为 1
当前股票 603311 股票名字 金海环境 评级为: B  .............. i =74 , i的余数为 0
当前股票 002185 股票名字 华天科技 评级为: A  .............. i =75 , i的余数为 1
当前股票 600315 股票名字 上海家化 评级为: B+ .............. i =76 , i的余数为 0
当前股票 002079 股票名字 苏州固锝 评级为: B- .............. i =77 , i的余数为 1
当前股票 603920 股票名字 世运电路 评级为: A- .............. i =78 , i的余数为 0
当前股票 000936 股票名字 华西股份 评级为: B- .............. i =79 , i的余数为 1
当前股票 300465 股票名字 高伟达 评级为: B- .............. i =80 , i的余数为 0
当前股票 600721 股票名字 百花村 评级为: B  .............. i =81 , i的余数为 1
当前股票 000733 股票名字 振华科技 评级为: B  .............. i =82 , i的余数为 0
当前股票 002612 股票名字 朗姿股份 评级为: B+ .............. i =83 , i的余数为 1
当前股票 603987 股票名字 康德莱 评级为: A  .............. i =84 , i的余数为 0
当前股票 603007 股票名字 花王股份 评级为: A  .............. i =85 , i的余数为 1
当前股票 603378 股票名字 亚士创能 评级为: D- .............. i =86 , i的余数为 0
当前股票 603937 股票名字 丽岛新材 评级为: B+ .............. i =87 , i的余数为 1
当前股票 600203 股票名字 福日电子 评级为: C- .............. i =88 , i的余数为 0
当前股票 000019 股票名字 深深宝Ａ 评级为: D+ .............. i =89 , i的余数为 1
当前股票 600520 股票名字 文一科技 评级为: B- .............. i =90 , i的余数为 0
当前股票 603936 股票名字 博敏电子 评级为: B+ .............. i =91 , i的余数为 1
当前股票 601872 股票名字 招商轮船 评级为: B  .............. i =92 , i的余数为 0
当前股票 603958 股票名字 哈森股份 评级为: B- .............. i =93 , i的余数为 1
当前股票 300223 股票名字 北京君正 评级为: C+ .............. i =94 , i的余数为 0
当前股票 603799 股票名字 华友钴业 评级为: A  .............. i =95 , i的余数为 1
当前股票 300393 股票名字 中来股份 评级为: D- .............. i =96 , i的余数为 0
当前股票 002220 股票名字 天宝食品 评级为: C+ .............. i =97 , i的余数为 1
当前股票 603016 股票名字 新宏泰 评级为: D- .............. i =98 , i的余数为 0
当前股票 002631 股票名字 德尔未来 评级为: B- .............. i =99 , i的余数为 1
当前股票 600171 股票名字 上海贝岭 评级为: B  .............. i =100 , i的余数为 0
当前股票 002119 股票名字 康强电子 评级为: B  .............. i =101 , i的余数为 1
当前股票 603557 股票名字 起步股份 评级为: B- .............. i =102 , i的余数为 0
当前股票 300500 股票名字 启迪设计 评级为: B+ .............. i =103 , i的余数为 1
当前股票 002290 股票名字 中科新材 评级为: C  .............. i =104 , i的余数为 0
当前股票 002414 股票名字 高德红外 评级为: B- .............. i =105 , i的余数为 1
当前股票 300667 股票名字 必创科技 评级为: B- .............. i =106 , i的余数为 0
当前股票 002682 股票名字 龙洲股份 评级为: D- .............. i =107 , i的余数为 1
当前股票 300423 股票名字 鲁亿通 评级为: B  .............. i =108 , i的余数为 0
当前股票 300474 股票名字 景嘉微 评级为: B  .............. i =109 , i的余数为 1
当前股票 002457 股票名字 青龙管业 评级为: B- .............. i =110 , i的余数为 0
当前股票 000659 股票名字 *ST中富 评级为: B+ .............. i =111 , i的余数为 1
当前股票 600962 股票名字 国投中鲁 评级为: C- .............. i =112 , i的余数为 0
当前股票 603365 股票名字 水星家纺 评级为: A+ .............. i =113 , i的余数为 1
当前股票 300338 股票名字 开元股份 评级为: A  .............. i =114 , i的余数为 0
当前股票 002304 股票名字 洋河股份 评级为: A+ .............. i =115 , i的余数为 1
当前股票 002458 股票名字 益生股份 评级为: C  .............. i =116 , i的余数为 0
当前股票 300671 股票名字 富满电子 评级为: A  .............. i =117 , i的余数为 1
当前股票 002585 股票名字 双星新材 评级为: B  .............. i =118 , i的余数为 0
当前股票 002077 股票名字 大港股份 评级为: B- .............. i =119 , i的余数为 1
当前股票 300463 股票名字 迈克生物 评级为: A  .............. i =120 , i的余数为 0
当前股票 600686 股票名字 金龙汽车 评级为: C- .............. i =121 , i的余数为 1
当前股票 600288 股票名字 大恒科技 评级为: B- .............. i =122 , i的余数为 0
当前股票 002582 股票名字 好想你 评级为: B  .............. i =123 , i的余数为 1
当前股票 603897 股票名字 长城科技 评级为: B  .............. i =124 , i的余数为 0
当前股票 002180 股票名字 纳思达 评级为: C+ .............. i =125 , i的余数为 1
当前股票 002066 股票名字 瑞泰科技 评级为: C+ .............. i =126 , i的余数为 0
当前股票 603703 股票名字 盛洋科技 评级为: B- .............. i =127 , i的余数为 1
当前股票 002316 股票名字 键桥通讯 评级为: C+ .............. i =128 , i的余数为 0
当前股票 600149 股票名字 *ST坊展 评级为: D  .............. i =129 , i的余数为 1
当前股票 002258 股票名字 利尔化学 评级为: A+ .............. i =130 , i的余数为 0
当前股票 002913 股票名字 奥士康 评级为: A  .............. i =131 , i的余数为 1
当前股票 600760 股票名字 中航沈飞 评级为: B+ .............. i =132 , i的余数为 0
当前股票 002492 股票名字 恒基达鑫 评级为: B  .............. i =133 , i的余数为 1
当前股票 600385 股票名字 山东金泰 评级为: C- .............. i =134 , i的余数为 0
当前股票 300514 股票名字 友讯达 评级为: A  .............. i =135 , i的余数为 1
当前股票 000062 股票名字 深圳华强 评级为: A- .............. i =136 , i的余数为 0
当前股票 600756 股票名字 浪潮软件 评级为: B- .............. i =137 , i的余数为 1
当前股票 600715 股票名字 文投控股 评级为: D- .............. i =138 , i的余数为 0
当前股票 600846 股票名字 同济科技 评级为: C+ .............. i =139 , i的余数为 1
当前股票 300576 股票名字 容大感光 评级为: B  .............. i =140 , i的余数为 0
当前股票 603488 股票名字 展鹏科技 评级为: A  .............. i =141 , i的余数为 1
当前股票 300688 股票名字 创业黑马 评级为: B- .............. i =142 , i的余数为 0
当前股票 600771 股票名字 广誉远 评级为: B+ .............. i =143 , i的余数为 1
当前股票 000976 股票名字 华铁股份 评级为: B- .............. i =144 , i的余数为 0
当前股票 600360 股票名字 华微电子 评级为: B- .............. i =145 , i的余数为 1
当前股票 600890 股票名字 中房股份 评级为: C  .............. i =146 , i的余数为 0
当前股票 300277 股票名字 海联讯 评级为: C- .............. i =147 , i的余数为 1
当前股票 002727 股票名字 一心堂 评级为: A  .............. i =148 , i的余数为 0
当前股票 300015 股票名字 爱尔眼科 评级为: A+ .............. i =149 , i的余数为 1
当前股票 600874 股票名字 创业环保 评级为: B+ .............. i =150 , i的余数为 0
当前股票 601100 股票名字 恒立液压 评级为: A+ .............. i =151 , i的余数为 1
当前股票 603377 股票名字 东方时尚 评级为: D- .............. i =152 , i的余数为 0
当前股票 600100 股票名字 同方股份 评级为: B- .............. i =153 , i的余数为 1
当前股票 603359 股票名字 东珠景观 评级为: A  .............. i =154 , i的余数为 0
当前股票 603890 股票名字 春秋电子 评级为: A  .............. i =155 , i的余数为 1
当前股票 300404 股票名字 博济医药 评级为: C- .............. i =156 , i的余数为 0
当前股票 002514 股票名字 宝馨科技 评级为: C- .............. i =157 , i的余数为 1
当前股票 002459 股票名字 天业通联 评级为: B- .............. i =158 , i的余数为 0
当前股票 601226 股票名字 华电重工 评级为: C  .............. i =159 , i的余数为 1
当前股票 000021 股票名字 深科技 评级为: B+ .............. i =160 , i的余数为 0
当前股票 300003 股票名字 乐普医疗 评级为: A  .............. i =161 , i的余数为 1
当前股票 600237 股票名字 铜峰电子 评级为: C- .............. i =162 , i的余数为 0
当前股票 000863 股票名字 三湘印象 评级为: B- .............. i =163 , i的余数为 1
当前股票 300621 股票名字 维业股份 评级为: D- .............. i =164 , i的余数为 0
当前股票 600211 股票名字 西藏药业 评级为: A+ .............. i =165 , i的余数为 1
当前股票 300623 股票名字 捷捷微电 评级为: A  .............. i =166 , i的余数为 0
当前股票 600589 股票名字 广东榕泰 评级为: B- .............. i =167 , i的余数为 1
当前股票 002333 股票名字 罗普斯金 评级为: C- .............. i =168 , i的余数为 0
当前股票 002695 股票名字 煌上煌 评级为: B- .............. i =169 , i的余数为 1
当前股票 600774 股票名字 汉商集团 评级为: B+ .............. i =170 , i的余数为 0
当前股票 300256 股票名字 星星科技 评级为: C+ .............. i =171 , i的余数为 1
当前股票 000923 股票名字 河北宣工 评级为: B+ .............. i =172 , i的余数为 0
当前股票 300616 股票名字 尚品宅配 评级为: A+ .............. i =173 , i的余数为 1
当前股票 300150 股票名字 世纪瑞尔 评级为: C+ .............. i =174 , i的余数为 0
当前股票 603833 股票名字 欧派家居 评级为: A+ .............. i =175 , i的余数为 1
当前股票 600276 股票名字 恒瑞医药 评级为: A+ .............. i =176 , i的余数为 0
当前股票 600405 股票名字 动力源 评级为: D- .............. i =177 , i的余数为 1
当前股票 300102 股票名字 乾照光电 评级为: B  .............. i =178 , i的余数为 0
当前股票 600201 股票名字 生物股份 评级为: A+ .............. i =179 , i的余数为 1
当前股票 002120 股票名字 韵达股份 评级为: A  .............. i =180 , i的余数为 0
当前股票 300498 股票名字 温氏股份 评级为: A  .............. i =181 , i的余数为 1
当前股票 600103 股票名字 青山纸业 评级为: B+ .............. i =182 , i的余数为 0
当前股票 603002 股票名字 宏昌电子 评级为: B- .............. i =183 , i的余数为 1
当前股票 002743 股票名字 富煌钢构 评级为: C+ .............. i =184 , i的余数为 0
当前股票 002006 股票名字 精功科技 评级为: B- .............. i =185 , i的余数为 1
当前股票 300456 股票名字 耐威科技 评级为: B- .............. i =186 , i的余数为 0
当前股票 601992 股票名字 金隅集团 评级为: B  .............. i =187 , i的余数为 1
当前股票 000600 股票名字 建投能源 评级为: B- .............. i =188 , i的余数为 0
当前股票 002547 股票名字 春兴精工 评级为: C- .............. i =189 , i的余数为 1
当前股票 002268 股票名字 卫士通 评级为: C+ .............. i =190 , i的余数为 0
当前股票 300130 股票名字 新国都 评级为: A  .............. i =191 , i的余数为 1
当前股票 600372 股票名字 中航电子 评级为: A  .............. i =192 , i的余数为 0
当前股票 600298 股票名字 安琪酵母 评级为: A  .............. i =193 , i的余数为 1
当前股票 002262 股票名字 恩华药业 评级为: A  .............. i =194 , i的余数为 0
当前股票 300527 股票名字 华舟应急 评级为: A- .............. i =195 , i的余数为 1
当前股票 603908 股票名字 牧高笛 评级为: A  .............. i =196 , i的余数为 0
当前股票 002883 股票名字 中设股份 评级为: A  .............. i =197 , i的余数为 1
当前股票 002214 股票名字 大立科技 评级为: C+ .............. i =198 , i的余数为 0
当前股票 002088 股票名字 鲁阳节能 评级为: A+ .............. i =199 , i的余数为 1
当前股票 300388 股票名字 国祯环保 评级为: A  .............. i =200 , i的余数为 0
当前股票 002552 股票名字 宝鼎科技 评级为: D+ .............. i =201 , i的余数为 1
当前股票 002065 股票名字 东华软件 评级为: B- .............. i =202 , i的余数为 0
当前股票 002282 股票名字 博深工具 评级为: B- .............. i =203 , i的余数为 1
当前股票 300091 股票名字 金通灵 评级为: B+ .............. i =204 , i的余数为 0
当前股票 300543 股票名字 朗科智能 评级为: B  .............. i =205 , i的余数为 1
当前股票 002023 股票名字 海特高新 评级为: C  .............. i =206 , i的余数为 0
当前股票 002411 股票名字 必康股份 评级为: A- .............. i =207 , i的余数为 1
当前股票 300253 股票名字 卫宁健康 评级为: B+ .............. i =208 , i的余数为 0
当前股票 603019 股票名字 中科曙光 评级为: A- .............. i =209 , i的余数为 1
当前股票 600969 股票名字 郴电国际 评级为: B  .............. i =210 , i的余数为 0
当前股票 000893 股票名字 东凌国际 评级为: D+ .............. i =211 , i的余数为 1
当前股票 300546 股票名字 雄帝科技 评级为: A- .............. i =212 , i的余数为 0
当前股票 002529 股票名字 海源机械 评级为: C  .............. i =213 , i的余数为 1
当前股票 000428 股票名字 华天酒店 评级为: D+ .............. i =214 , i的余数为 0
当前股票 600982 股票名字 宁波热电 评级为: B- .............. i =215 , i的余数为 1
当前股票 300326 股票名字 凯利泰 评级为: B  .............. i =216 , i的余数为 0
当前股票 603688 股票名字 石英股份 评级为: A  .............. i =217 , i的余数为 1
当前股票 300327 股票名字 中颖电子 评级为: A- .............. i =218 , i的余数为 0
当前股票 600397 股票名字 *ST安煤 评级为: D+ .............. i =219 , i的余数为 1
当前股票 300364 股票名字 中文在线 评级为: B  .............. i =220 , i的余数为 0
当前股票 002195 股票名字 二三四五 评级为: B  .............. i =221 , i的余数为 1
当前股票 600422 股票名字 昆药集团 评级为: B  .............. i =222 , i的余数为 0
当前股票 603960 股票名字 克来机电 评级为: A  .............. i =223 , i的余数为 1
当前股票 000981 股票名字 银亿股份 评级为: A  .............. i =224 , i的余数为 0
当前股票 002158 股票名字 汉钟精机 评级为: A- .............. i =225 , i的余数为 1
当前股票 000718 股票名字 苏宁环球 评级为: B+ .............. i =226 , i的余数为 0
当前股票 300459 股票名字 金科文化 评级为: B+ .............. i =227 , i的余数为 1
当前股票 603886 股票名字 元祖股份 评级为: A  .............. i =228 , i的余数为 0
当前股票 300493 股票名字 润欣科技 评级为: A  .............. i =229 , i的余数为 1
当前股票 300079 股票名字 数码科技 评级为: B- .............. i =230 , i的余数为 0
当前股票 601208 股票名字 东材科技 评级为: B  .............. i =231 , i的余数为 1
当前股票 002372 股票名字 伟星新材 评级为: A  .............. i =232 , i的余数为 0
当前股票 600009 股票名字 上海机场 评级为: A+ .............. i =233 , i的余数为 1
当前股票 600965 股票名字 福成股份 评级为: B  .............. i =234 , i的余数为 0
当前股票 002540 股票名字 亚太科技 评级为: B  .............. i =235 , i的余数为 1
当前股票 603903 股票名字 中持股份 评级为: B  .............. i =236 , i的余数为 0
当前股票 002216 股票名字 三全食品 评级为: B- .............. i =237 , i的余数为 1
当前股票 600400 股票名字 红豆股份 评级为: B  .............. i =238 , i的余数为 0
当前股票 300199 股票名字 翰宇药业 评级为: A  .............. i =239 , i的余数为 1
当前股票 600781 股票名字 辅仁药业 评级为: B+ .............. i =240 , i的余数为 0
当前股票 600900 股票名字 长江电力 评级为: A  .............. i =241 , i的余数为 1
当前股票 000546 股票名字 金圆股份 评级为: A  .............. i =242 , i的余数为 0
当前股票 002422 股票名字 科伦药业 评级为: B+ .............. i =243 , i的余数为 1
当前股票 600008 股票名字 首创股份 评级为: B  .............. i =244 , i的余数为 0
当前股票 600599 股票名字 熊猫金控 评级为: B  .............. i =245 , i的余数为 1
当前股票 600182 股票名字 S佳通 评级为: C  .............. i =246 , i的余数为 0
当前股票 002470 股票名字 金正大 评级为: A  .............. i =247 , i的余数为 1
当前股票 002013 股票名字 中航机电 评级为: A+ .............. i =248 , i的余数为 0
当前股票 002603 股票名字 以岭药业 评级为: B+ .............. i =249 , i的余数为 1
当前股票 300087 股票名字 荃银高科 评级为: A  .............. i =250 , i的余数为 0
当前股票 300618 股票名字 寒锐钴业 评级为: A+ .............. i =251 , i的余数为 1
当前股票 603899 股票名字 晨光文具 评级为: A+ .............. i =252 , i的余数为 0
当前股票 600530 股票名字 交大昂立 评级为: A  .............. i =253 , i的余数为 1
当前股票 002903 股票名字 宇环数控 评级为: A- .............. i =254 , i的余数为 0
当前股票 000651 股票名字 格力电器 评级为: A+ .............. i =255 , i的余数为 1
当前股票 300114 股票名字 中航电测 评级为: A  .............. i =256 , i的余数为 0
当前股票 000576 股票名字 广东甘化 评级为: C+ .............. i =257 , i的余数为 1
当前股票 000011 股票名字 深物业A 评级为: B+ .............. i =258 , i的余数为 0
当前股票 002463 股票名字 沪电股份 评级为: B+ .............. i =259 , i的余数为 1
当前股票 002526 股票名字 山东矿机 评级为: B+ .............. i =260 , i的余数为 0
当前股票 000301 股票名字 东方市场 评级为: A  .............. i =261 , i的余数为 1
当前股票 002245 股票名字 澳洋顺昌 评级为: A- .............. i =262 , i的余数为 0
当前股票 600587 股票名字 新华医疗 评级为: B- .............. i =263 , i的余数为 1
当前股票 300389 股票名字 艾比森 评级为: B  .............. i =264 , i的余数为 0
当前股票 300461 股票名字 田中精机 评级为: B+ .............. i =265 , i的余数为 1
当前股票 600833 股票名字 第一医药 评级为: B  .............. i =266 , i的余数为 0
当前股票 002725 股票名字 跃岭股份 评级为: B+ .............. i =267 , i的余数为 1
当前股票 002707 股票名字 众信旅游 评级为: A- .............. i =268 , i的余数为 0
当前股票 002625 股票名字 光启技术 评级为: B+ .............. i =269 , i的余数为 1
当前股票 300159 股票名字 新研股份 评级为: A- .............. i =270 , i的余数为 0
当前股票 002832 股票名字 比音勒芬 评级为: A+ .............. i =271 , i的余数为 1
当前股票 603605 股票名字 珀莱雅 评级为: A  .............. i =272 , i的余数为 0
当前股票 300703 股票名字 创源文化 评级为: A- .............. i =273 , i的余数为 1
当前股票 600038 股票名字 中直股份 评级为: A  .............. i =274 , i的余数为 0
当前股票 600082 股票名字 海泰发展 评级为: C- .............. i =275 , i的余数为 1
当前股票 002364 股票名字 中恒电气 评级为: D- .............. i =276 , i的余数为 0
当前股票 600056 股票名字 中国医药 评级为: A  .............. i =277 , i的余数为 1
当前股票 603787 股票名字 新日股份 评级为: B+ .............. i =278 , i的余数为 0
当前股票 600882 股票名字 广泽股份 评级为: C- .............. i =279 , i的余数为 1
当前股票 002106 股票名字 莱宝高科 评级为: B  .............. i =280 , i的余数为 0
当前股票 300217 股票名字 东方电热 评级为: B- .............. i =281 , i的余数为 1
当前股票 002684 股票名字 猛狮科技 评级为: D- .............. i =282 , i的余数为 0
当前股票 002298 股票名字 中电鑫龙 评级为: B  .............. i =283 , i的余数为 1
当前股票 300458 股票名字 全志科技 评级为: B- .............. i =284 , i的余数为 0
当前股票 600543 股票名字 莫高股份 评级为: B  .............. i =285 , i的余数为 1
当前股票 600387 股票名字 海越股份 评级为: B+ .............. i =286 , i的余数为 0
当前股票 600323 股票名字 瀚蓝环境 评级为: A- .............. i =287 , i的余数为 1
当前股票 000538 股票名字 云南白药 评级为: A+ .............. i =288 , i的余数为 0
当前股票 002761 股票名字 多喜爱 评级为: A  .............. i =289 , i的余数为 1
当前股票 603848 股票名字 好太太 评级为: A- .............. i =290 , i的余数为 0
当前股票 601933 股票名字 永辉超市 评级为: A  .............. i =291 , i的余数为 1
当前股票 300122 股票名字 智飞生物 评级为: A  .............. i =292 , i的余数为 0
当前股票 002118 股票名字 紫鑫药业 评级为: B+ .............. i =293 , i的余数为 1
当前股票 002632 股票名字 道明光学 评级为: B- .............. i =294 , i的余数为 0
当前股票 600841 股票名字 上柴股份 评级为: B  .............. i =295 , i的余数为 1
当前股票 600601 股票名字 方正科技 评级为: C  .............. i =296 , i的余数为 0
当前股票 600070 股票名字 浙江富润 评级为: B  .............. i =297 , i的余数为 1
当前股票 600510 股票名字 黑牡丹 评级为: B  .............. i =298 , i的余数为 0
当前股票 002412 股票名字 汉森制药 评级为: B+ .............. i =299 , i的余数为 1
当前股票 603969 股票名字 银龙股份 评级为: B  .............. i =300 , i的余数为 0
当前股票 600572 股票名字 康恩贝 评级为: A  .............. i =301 , i的余数为 1
当前股票 600460 股票名字 士兰微 评级为: B  .............. i =302 , i的余数为 0
当前股票 600870 股票名字 厦华电子 评级为: C- .............. i =303 , i的余数为 1
当前股票 000673 股票名字 当代东方 评级为: D- .............. i =304 , i的余数为 0
当前股票 601890 股票名字 亚星锚链 评级为: C+ .............. i =305 , i的余数为 1
当前股票 000615 股票名字 京汉股份 评级为: B  .............. i =306 , i的余数为 0
当前股票 002530 股票名字 金财互联 评级为: A  .............. i =307 , i的余数为 1
当前股票 300394 股票名字 天孚通信 评级为: B- .............. i =308 , i的余数为 0
当前股票 603696 股票名字 安记食品 评级为: B  .............. i =309 , i的余数为 1
当前股票 603868 股票名字 飞科电器 评级为: A+ .............. i =310 , i的余数为 0
当前股票 002218 股票名字 拓日新能 评级为: D- .............. i =311 , i的余数为 1
当前股票 300346 股票名字 南大光电 评级为: A- .............. i =312 , i的余数为 0
当前股票 002374 股票名字 丽鹏股份 评级为: B- .............. i =313 , i的余数为 1
当前股票 600815 股票名字 *ST厦工 评级为: B  .............. i =314 , i的余数为 0
当前股票 600577 股票名字 精达股份 评级为: B  .............. i =315 , i的余数为 1
当前股票 002416 股票名字 爱施德 评级为: B+ .............. i =316 , i的余数为 0
当前股票 300009 股票名字 安科生物 评级为: A+ .............. i =317 , i的余数为 1
当前股票 600436 股票名字 片仔癀 评级为: A+ .............. i =318 , i的余数为 0
当前股票 300675 股票名字 建科院 评级为: D+ .............. i =319 , i的余数为 1
当前股票 600476 股票名字 湘邮科技 评级为: C  .............. i =320 , i的余数为 0
当前股票 300344 股票名字 太空智造 评级为: C- .............. i =321 , i的余数为 1
当前股票 601600 股票名字 中国铝业 评级为: A  .............. i =322 , i的余数为 0
当前股票 603466 股票名字 风语筑 评级为: A  .............. i =323 , i的余数为 1
当前股票 601137 股票名字 博威合金 评级为: A- .............. i =324 , i的余数为 0
当前股票 603268 股票名字 松发股份 评级为: A  .............. i =325 , i的余数为 1
当前股票 002558 股票名字 巨人网络 评级为: A  .............. i =326 , i的余数为 0
当前股票 601919 股票名字 中远海控 评级为: B+ .............. i =327 , i的余数为 1
当前股票 600185 股票名字 格力地产 评级为: B- .............. i =328 , i的余数为 0
当前股票 603883 股票名字 老百姓 评级为: A+ .............. i =329 , i的余数为 1
当前股票 600803 股票名字 新奥股份 评级为: A+ .............. i =330 , i的余数为 0
当前股票 002015 股票名字 霞客环保 评级为: B- .............. i =331 , i的余数为 1
当前股票 002627 股票名字 宜昌交运 评级为: B+ .............. i =332 , i的余数为 0
当前股票 600271 股票名字 航天信息 评级为: A- .............. i =333 , i的余数为 1
当前股票 002665 股票名字 首航节能 评级为: D- .............. i =334 , i的余数为 0
当前股票 300529 股票名字 健帆生物 评级为: A  .............. i =335 , i的余数为 1
当前股票 600365 股票名字 通葡股份 评级为: B- .............. i =336 , i的余数为 0
当前股票 600535 股票名字 天士力 评级为: B+ .............. i =337 , i的余数为 1
当前股票 600346 股票名字 恒力股份 评级为: A  .............. i =338 , i的余数为 0
